renewable energy generation percentage,non-renewable energy generation percentage,date
0.23327320905565022,0.7667267909443498,2017-09-20
0.290633875575911,0.709366124424089,2017-09-21
0.28546703412266033,0.7145329658773396,2017-09-22
0.27791071264594036,0.7220892873540596,2017-09-23
0.2875223672533182,0.7124776327466817,2017-09-24
0.2130388702041116,0.7869611297958884,2017-09-25
0.2032018071550247,0.7967981928449753,2017-09-26
0.2190453410167993,0.7809546589832007,2017-09-27
0.20092470644991836,0.7990752935500817,2017-09-28
0.18748473849709085,0.8125152615029092,2017-09-29
0.23697402014746055,0.7630259798525394,2017-09-30
0.25972183649533714,0.7402781635046629,2017-10-01
0.23103686096898912,0.7689631390310109,2017-10-02
0.2250389798466739,0.7749610201533261,2017-10-03
0.24664182879683624,0.7533581712031637,2017-10-04
0.35134551288458576,0.6486544871154143,2017-10-05
0.3091152272377778,0.6908847727622223,2017-10-06
0.2573928533335999,0.7426071466664002,2017-10-07
0.182419671014059,0.817580328985941,2017-10-08
0.14055683671420036,0.8594431632857996,2017-10-09
0.18461857571264723,0.8153814242873527,2017-10-10
0.188048638522681,0.8119513614773191,2017-10-11
0.18484007631318672,0.8151599236868132,2017-10-12
0.22383243286695761,0.7761675671330424,2017-10-13
0.37125163556428825,0.6287483644357117,2017-10-14
0.3149285780925893,0.6850714219074108,2017-10-15
0.29241672337658775,0.7075832766234122,2017-10-16
0.24609033159058982,0.7539096684094102,2017-10-17
0.2620694682534029,0.7379305317465972,2017-10-18
0.31679134771936523,0.6832086522806348,2017-10-19
0.32453913887901964,0.6754608611209804,2017-10-20
0.2865717691963627,0.7134282308036373,2017-10-21
0.2180394402750326,0.7819605597249674,2017-10-22
0.22608763966405895,0.773912360335941,2017-10-23
0.2188624985318045,0.7811375014681955,2017-10-24
0.2178280829549447,0.7821719170450553,2017-10-25
0.30996213000120865,0.6900378699987914,2017-10-26
0.43934364080753385,0.5606563591924661,2017-10-27
0.4135269149560637,0.5864730850439364,2017-10-28
0.37911990341538887,0.6208800965846111,2017-10-29
0.2577624051643282,0.7422375948356719,2017-10-30
0.3378128902945391,0.6621871097054609,2017-10-31
0.21902969475690484,0.7809703052430952,2017-11-01
0.18864423650326867,0.8113557634967313,2017-11-02
0.25587075265923565,0.7441292473407644,2017-11-03
0.4742544731092035,0.5257455268907965,2017-11-04
0.3670849000276051,0.6329150999723949,2017-11-05
0.31686090734950884,0.6831390926504912,2017-11-06
0.31629736648156553,0.6837026335184344,2017-11-07
0.35079347574682085,0.6492065242531792,2017-11-08
0.3385226005469625,0.6614773994530375,2017-11-09
0.34642686895010566,0.6535731310498943,2017-11-10
0.3890943619411077,0.6109056380588923,2017-11-11
0.4422340515573867,0.5577659484426133,2017-11-12
0.3308962036627582,0.6691037963372418,2017-11-13
0.17505303107228862,0.8249469689277114,2017-11-14
